LONG,LAT,PROB,SEIZURE,YEAR,ORIGIN
10.22335652,2.133354783,0.204651611,A,2017,Nigeria
11.36975942,2.133354783,0.288851311,A,2017,Nigeria
9.076953623,5.572563478,0.298062461,A,2017,Nigeria
14.23576667,3.279757681,0.796549,A,2017,Nigeria
9.076953623,5.572563478,0.750666506,A,2017,Nigeria
9.076953623,5.572563478,0.644280121,A,2017,Nigeria
10.22335652,2.133354783,0.146974602,A,2017,Nigeria
9.650155072,5.572563478,0.215319541,A,2017,Nigeria
9.076953623,5.572563478,0.747077971,A,2017,Nigeria
9.076953623,5.572563478,0.484702212,A,2017,Nigeria
11.36975942,2.133354783,0.114039626,A,2017,Nigeria
9.076953623,5.572563478,0.882204884,A,2017,Nigeria
3.344939,7.292168,0.4375666,A,2017,Nigeria
14.23576667,3.279757681,0.224535643,A,2017,Nigeria
10.22335652,2.133354783,0.415856023,A,2017,Nigeria
9.650155072,4.42616058,0.039103597,A,2017,Nigeria
11.36975942,2.133354783,0.158021824,A,2017,Nigeria
13.66256522,4.999362029,0.267621204,A,2017,Nigeria
10.22335652,2.133354783,0.64396058,A,2017,Nigeria
13.66256522,3.279757681,0.107108867,A,2017,Nigeria
13.66256522,4.999362029,0.295055883,A,2017,Nigeria
11.36975942,2.133354783,0.136256637,A,2017,Nigeria
11.36975942,2.133354783,0.15965341,A,2017,Nigeria
13.66256522,4.999362029,0.338540412,A,2017,Nigeria
11.36975942,2.133354783,0.214068315,A,2017,Nigeria
13.66256522,4.999362029,0.158928202,A,2017,Nigeria
13.66256522,2.706556232,0.354754404,A,2017,Nigeria
10.22335652,1.560153333,0.050626147,A,2017,Nigeria
13.66256522,4.999362029,0.251116624,A,2017,Nigeria
13.66256522,4.999362029,0.13186793,A,2017,Nigeria
13.66256522,4.999362029,0.303537395,A,2017,Nigeria
9.076953623,5.572563478,0.926844065,A,2017,Nigeria
11.36975942,2.133354783,0.20983203,A,2017,Nigeria
14.23576667,3.279757681,0.933611735,A,2017,Nigeria
10.22335652,2.133354783,0.599724787,A,2017,Nigeria
14.23576667,2.706556232,0.268930123,A,2017,Nigeria
14.23576667,3.279757681,0.675988592,A,2017,Nigeria
13.66256522,4.999362029,0.096776032,A,2017,Nigeria
10.22335652,2.133354783,0.365500425,A,2017,Nigeria
13.66256522,3.279757681,0.148939255,A,2017,Nigeria
11.36975942,2.133354783,0.297809035,A,2017,Nigeria
14.80896812,3.279757681,0.088958017,A,2017,Nigeria
